forecast_date,forecast,actual,error,abs_error
2025-02-09,27.8,27.1,-0.6999999999999993,0.6999999999999993
2025-02-10,27.1,27.9,0.7999999999999972,0.7999999999999972
2025-02-11,27.9,26.9,-1.0,1.0
2025-02-12,26.9,29.6,2.700000000000003,2.700000000000003
2025-02-13,29.6,28.8,-0.8000000000000007,0.8000000000000007
2025-02-14,28.8,26.9,-1.9000000000000021,1.9000000000000021
2025-02-15,26.9,28.6,1.7000000000000028,1.7000000000000028
2025-02-16,28.6,30.5,1.8999999999999986,1.8999999999999986
2025-02-17,30.5,28.6,-1.8999999999999986,1.8999999999999986
2025-02-18,28.6,28.3,-0.3000000000000007,0.3000000000000007
2025-02-19,28.3,29.4,1.0999999999999979,1.0999999999999979
2025-02-20,29.4,31.0,1.6000000000000014,1.6000000000000014
2025-02-21,31.0,28.2,-2.8000000000000007,2.8000000000000007
2025-02-22,28.2,30.8,2.6000000000000014,2.6000000000000014
2025-02-23,30.8,31.0,0.1999999999999993,0.1999999999999993
2025-02-24,31.0,30.6,-0.3999999999999986,0.3999999999999986
2025-02-25,30.6,31.4,0.7999999999999972,0.7999999999999972
2025-02-26,31.4,30.4,-1.0,1.0
2025-02-27,30.4,29.9,-0.5,0.5
2025-02-28,29.9,29.5,-0.3999999999999986,0.3999999999999986
2025-03-01,29.5,28.5,-1.0,1.0
2025-03-02,28.5,29.5,1.0,1.0
2025-03-03,29.5,30.1,0.6000000000000014,0.6000000000000014
2025-03-04,30.1,30.0,-0.10000000000000142,0.10000000000000142
2025-03-05,30.0,30.6,0.6000000000000014,0.6000000000000014
2025-03-06,30.6,30.6,0.0,0.0
2025-03-07,30.6,30.9,0.29999999999999716,0.29999999999999716
2025-03-08,30.9,31.2,0.3000000000000007,0.3000000000000007
2025-03-09,31.2,32.0,0.8000000000000007,0.8000000000000007
2025-03-10,32.0,30.5,-1.5,1.5
2025-03-11,30.5,28.2,-2.3000000000000007,2.3000000000000007
2025-03-12,28.2,29.0,0.8000000000000007,0.8000000000000007
2025-03-13,29.0,30.8,1.8000000000000007,1.8000000000000007
2025-03-14,30.8,30.1,-0.6999999999999993,0.6999999999999993
2025-03-15,30.1,31.6,1.5,1.5
2025-03-16,31.6,31.6,0.0,0.0
2025-03-17,31.6,31.1,-0.5,0.5
2025-03-18,31.1,30.0,-1.1000000000000014,1.1000000000000014
2025-03-19,30.0,29.2,-0.8000000000000007,0.8000000000000007
2025-03-20,29.2,31.2,2.0,2.0
2025-03-21,31.2,31.2,0.0,0.0
2025-03-22,31.2,31.3,0.10000000000000142,0.10000000000000142
2025-03-23,31.3,28.5,-2.8000000000000007,2.8000000000000007
2025-03-24,28.5,29.0,0.5,0.5
2025-03-25,29.0,27.4,-1.6000000000000014,1.6000000000000014
2025-03-26,27.4,28.2,0.8000000000000007,0.8000000000000007
2025-03-27,28.2,26.2,-2.0,2.0
2025-03-28,26.2,29.4,3.1999999999999993,3.1999999999999993
2025-03-29,29.4,30.8,1.4000000000000021,1.4000000000000021
2025-03-30,30.8,32.2,1.4000000000000021,1.4000000000000021
2025-03-31,32.2,31.5,-0.7000000000000028,0.7000000000000028
2025-04-01,31.5,31.4,-0.10000000000000142,0.10000000000000142
2025-04-02,31.4,31.3,-0.09999999999999787,0.09999999999999787
2025-04-03,31.3,32.3,0.9999999999999964,0.9999999999999964
2025-04-04,32.3,31.9,-0.3999999999999986,0.3999999999999986
2025-04-05,31.9,31.4,-0.5,0.5
2025-04-06,31.4,31.7,0.3000000000000007,0.3000000000000007
2025-04-07,31.7,32.0,0.3000000000000007,0.3000000000000007
2025-04-08,32.0,31.0,-1.0,1.0
2025-04-09,31.0,30.8,-0.1999999999999993,0.1999999999999993
2025-04-10,30.8,31.5,0.6999999999999993,0.6999999999999993
2025-04-11,31.5,32.5,1.0,1.0
2025-04-12,32.5,31.9,-0.6000000000000014,0.6000000000000014
2025-04-13,31.9,31.4,-0.5,0.5
2025-04-14,31.4,28.5,-2.8999999999999986,2.8999999999999986
2025-04-15,28.5,27.6,-0.8999999999999986,0.8999999999999986
2025-04-16,27.6,29.0,1.3999999999999986,1.3999999999999986
2025-04-17,29.0,29.3,0.3000000000000007,0.3000000000000007
2025-04-18,29.3,29.6,0.3000000000000007,0.3000000000000007
2025-04-19,29.6,30.8,1.1999999999999993,1.1999999999999993
2025-04-20,30.8,31.0,0.1999999999999993,0.1999999999999993
2025-04-21,31.0,31.0,0.0,0.0
2025-04-22,31.0,31.4,0.3999999999999986,0.3999999999999986
2025-04-23,31.4,31.0,-0.3999999999999986,0.3999999999999986
2025-04-24,31.0,31.5,0.5,0.5
2025-04-25,31.5,32.7,1.2000000000000028,1.2000000000000028
2025-04-26,32.7,32.8,0.09999999999999432,0.09999999999999432
2025-04-27,32.8,31.5,-1.2999999999999972,1.2999999999999972
2025-04-28,31.5,32.0,0.5,0.5
2025-04-29,32.0,30.1,-1.8999999999999986,1.8999999999999986
2025-04-30,30.1,30.3,0.1999999999999993,0.1999999999999993
2025-05-01,30.3,31.4,1.0999999999999979,1.0999999999999979
2025-05-02,31.4,31.1,-0.29999999999999716,0.29999999999999716
2025-05-03,31.1,31.3,0.1999999999999993,0.1999999999999993
2025-05-04,31.3,30.5,-0.8000000000000007,0.8000000000000007
2025-05-05,30.5,29.6,-0.8999999999999986,0.8999999999999986
2025-05-06,29.6,28.2,-1.4000000000000021,1.4000000000000021
2025-05-07,28.2,29.2,1.0,1.0
2025-05-08,29.2,29.5,0.3000000000000007,0.3000000000000007
2025-05-09,29.5,31.3,1.8000000000000007,1.8000000000000007
2025-05-10,31.3,31.9,0.5999999999999979,0.5999999999999979
2025-05-11,31.9,32.8,0.8999999999999986,0.8999999999999986
2025-05-12,32.8,34.1,1.3000000000000043,1.3000000000000043
2025-05-13,34.1,34.0,-0.10000000000000142,0.10000000000000142
2025-05-14,34.0,33.5,-0.5,0.5
2025-05-15,33.5,33.9,0.3999999999999986,0.3999999999999986
2025-05-16,33.9,33.0,-0.8999999999999986,0.8999999999999986
2025-05-17,33.0,33.5,0.5,0.5
2025-05-18,33.5,31.8,-1.6999999999999993,1.6999999999999993
2025-05-19,31.8,33.5,1.6999999999999993,1.6999999999999993
2025-05-20,33.5,34.4,0.8999999999999986,0.8999999999999986
2025-05-21,34.4,35.2,0.8000000000000043,0.8000000000000043
2025-05-22,35.2,35.8,0.5999999999999943,0.5999999999999943
2025-05-23,35.8,35.5,-0.29999999999999716,0.29999999999999716
2025-05-24,35.5,35.7,0.20000000000000284,0.20000000000000284
2025-05-25,35.7,35.5,-0.20000000000000284,0.20000000000000284
2025-05-26,35.5,35.5,0.0,0.0
2025-05-27,35.5,35.5,0.0,0.0
2025-05-28,35.5,34.3,-1.2000000000000028,1.2000000000000028
2025-05-29,34.3,33.8,-0.5,0.5
2025-05-30,33.8,34.7,0.9000000000000057,0.9000000000000057
2025-05-31,34.7,34.2,-0.5,0.5
2025-06-01,34.2,34.3,0.09999999999999432,0.09999999999999432
2025-06-02,34.3,33.8,-0.5,0.5
2025-06-03,33.8,33.8,0.0,0.0
2025-06-04,33.8,33.5,-0.29999999999999716,0.29999999999999716
2025-06-05,33.5,33.9,0.3999999999999986,0.3999999999999986
2025-06-06,33.9,33.0,-0.8999999999999986,0.8999999999999986
2025-06-07,33.0,33.3,0.29999999999999716,0.29999999999999716
2025-06-08,33.3,34.5,1.2000000000000028,1.2000000000000028
2025-06-09,34.5,35.1,0.6000000000000014,0.6000000000000014
2025-06-10,35.1,35.2,0.10000000000000142,0.10000000000000142
2025-06-11,35.2,35.7,0.5,0.5
2025-06-12,35.7,34.3,-1.4000000000000057,1.4000000000000057
2025-06-13,34.3,32.2,-2.0999999999999943,2.0999999999999943
2025-06-14,32.2,32.6,0.3999999999999986,0.3999999999999986
2025-06-15,32.6,31.9,-0.7000000000000028,0.7000000000000028
2025-06-16,31.9,32.5,0.6000000000000014,0.6000000000000014
2025-06-17,32.5,30.5,-2.0,2.0
